Address,latitude,longitude
"Plot 487, Asuquo Okon Street, Daki-Biyu, Jabi District, Abuja.",9.0589278,7.4294836
"KM 42, Lekki-Epe Expressway, Majek Second Gate Stop, Abijo Ibeju, Lekki, Lagos",6.468597,3.7037368
"Plot 16715, Kaduna Abuja Expressway, Kakau Town Kaduna.",10.503644,7.4337395
"49FJ+G6R Kubwa 901101, Federal Capital Territory (9.119699, 7.379851, Abuja",9.1238625,7.3805156
"Basawa Road, Palladan, Zaria, Kaduna Conversion Centre.",11.1413459,7.6876218
"Plot 9, Ikola Road Off Command Road, Ipaja, Lagos",6.6196781,3.2560294
"Gate 2, Ladipo Oluwole Street Off Oba Akran Avenue Ikeja, Lagos",6.6148306,3.3393152
"Opposite. MFM Prayercity, Lagos - Ibadan Express Way, Ibafo, Ogun",6.7264037,3.4119811
"Mobil Filling Station, NR Toll Gate, Ibadan-Lagos Road, Ibadan",7.3205776,3.8729704
"Plot 622A, Sabon Lugbe, South-West Layout, Airport Road, FCT Abuja",8.9589557,7.3358201
"KM 5, Ikotun Road, Itamope, Ikorodu, Lagos",6.5442722,3.2731275
"No.1 Ojota Interchange Terminal, Bayo Shodipo, Ojota, Lagos",6.5870544,3.378301
"913, Obafemi Awolowo Way, Utako, Abuja",9.0679396,7.4415218
"KM 23, Lekki-Epe Express Way, Ajah. Opposite Kilimanjaro, Beside Libmot Motors, by Abraham Adesanya Bus Stop, Lagos",6.4694152,3.5846184
"NNPC Service Station (Queen Elizabeth II) Agodi, Ibadan,Oyo",7.3992915,3.9028816
"Plot 144B, Gbagada Expressway, Gbagada, Lagos",6.5513674,3.3918544
"10B, Olusoji Idowu Street, Ilupeju, Lagos",6.5495004,3.3662454
"Plot 556, Katampe road, Opposite Harmony Court Estate, Jahi, Abuja 900108, Federal Capital Territory (9.105415, 7.448452)",9.1053327,7.4485992
"Plot 2, Block 7, Podo Industrial Village, Ibadan",7.3775355,3.9470396
"Dana Motors Ltd Kia Plaza, 117- Oshodi Apapa Expressway, Isolo, Lagos",6.5369901,3.3360729
"13, Adeleke Kuti Street, Off Cele Bus Stop, Ijede Road, Ikorodu, Lagos",6.6262819,3.5482102
"Phase 3 Felele, Adjacent NNPCL Mega Station, Abuja - Okene Express Way, Lokoja, Kogi.",7.8023204,6.733343
"Abuja - Keffi Express Road, Koroduma Karu, Nasarawa State",8.8471213,7.8776023
"Herbert Macaulay Way, Wuse Zone 5, Abuja",9.0671635,7.4605292
"No.8, Michibi Road, Off Pandrive, Kakuri Industrial, Kaduna",10.4483598,7.412226
"Plot 102, Opp Azkol Filling Station, Langbansa, Addo off Badore, Ajah, Lagos",6.499006,3.585677
"1 Cocoa Industries Road, Akilo Road, Off Ogba, Lagos",6.619403,3.3370519
PCNGI CENTRAL AREA,9.0568646,7.4819107
"Suleja - Zuba Road, Abuja",8.9489537,7.4466744
"Ajibode Retail Outlet, Along U.I. Ojo Road, Ibadan",7.4596625,3.9131736
"NCWS Complex, Beside Hexagon, Along Sango U.I Road, Samonda, Ibadan",7.432596,3.9063488
"Motor Transport Maintenance Yard, University of Ibadan, Oyo State",7.3775355,3.9470396
"Mobile House Idiroko Road, Obasanjo Bus Stop Sango-Ota",6.6822458,3.1922085
